Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End
1,49,79,49,80,1:24,12,left,1:31,2:01
2,2:24,81,2:24,76,2:59,8,right,3:05,3:36
3,3:59,74,3:59,72,4:32,48,left,4:38,5:08
4,5:29,81,5:29,80,6:03,66,right,6:09,6:38
5,7:08,73,7:08,72,7:46,6,left,7:51,8:23
6,9:42,73,9:42,84,10:17,6,right,10:22,10:50
7,11:37,74,11:37,72,12:11,26,left,12:20,12:53
8,13:35,75,13:35,76,14:10,26,left,14:14,14:45
9,15:19,71,15:19,64,16:04,26,left,16:12,16:43
10,17:10,68,17:10,52,17:50,6,right,17:58,18:28
11,18:53,78,18:53,56,19:31,24,left,19:36,20:05
12,21:00,71,21:00,68,21:34,24,right,12:46,22:15
13,23:08,74,23:08:00,76,23:42,38,left,24:01:00,24:31:00
14,26:05:00,76,26:05:00,72,26:40:00,34,right,26:43:00,27:13:00
15,27:40:00,85,27:40:00,64,28:15:00,34,right,28:25:00,28:49:00
