Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Heart Rate
1,0:25,76,0:25,80,1:07,20,25.0,77.0
2,1:33,76,1:33,80,2:14,12,93.0,80.4
3,3:20,73,3:20,80,4:06,14,200.0,80.4
4,3:35,77,3:35,80,5:16,10,215.0,80.4
5,5:55,78,5:55,80,6:46,14,355.0,80.4
6,7:17,75,7:17,80,8:51,14,437.0,83.7
7,9:18,75,9:18,80,10:01,14,558.0,83.7
8,10:40,80,10:40,80,11:26,12,640.0,83.7
9,11:52,76,11:52,80,12:35,14,712.0,83.7
10,13:14,75,13:14,80,13:55,12,794.0,83.7
11,14:30,73,14:30,76,15:14,12,870.0,83.7
12,15:43,73,15:43,72,16:20,14,943.0,83.7
13,16:48,77,16:48,80,17:26,14,1008.0,83.7
14,17:50,78,17:50,76,18:26,12,1070.0,85.4
15,18:49,74,18:49,76,19:25,14,1129.0,85.4
